panel_num,stitch_num,vertex_num,face_num
6,24,8492,15938
10,35,5108,9112
2,8,6848,13133
6,12,29706,57879
10,36,9830,18153
16,50,17419,32617
18,38,13605,25295
2,8,12812,24718
4,14,2745,4896
4,16,14031,26853
16,34,24900,47215
18,46,18768,34524
12,28,8489,15163
8,40,15062,28396
12,42,39529,76465
6,24,14448,27602
2,2,10913,21180
12,23,9379,17350
24,73,21438,39520
14,50,17028,31929
4,16,5800,10783
2,2,5877,11274
16,50,20732,39159
2,8,12369,24020
18,51,27625,52800
4,6,5759,10912
14,30,25718,49248
18,51,12316,22426
8,14,12122,23024
4,16,12225,23522
18,38,10856,19854
14,27,16905,31642
8,17,9153,17207
6,26,3620,6442
24,64,14740,26948
6,28,16697,32014
18,52,17472,32184
4,6,2716,4920
6,12,4830,8842
4,14,13653,26234
12,34,8475,15556
10,34,20901,39900
2,2,5651,10892
4,14,3301,5978
23,63,44890,86404
6,20,6605,12189
8,32,5691,10251
4,14,2767,4956
14,32,20635,39337
16,32,9263,17014
8,16,8446,15647
16,48,26922,51216
12,35,17393,32868
2,8,11778,22841
2,8,11273,21780
16,52,18471,33796
12,40,6711,11884
10,34,9088,16639
2,2,6168,11846
24,60,30520,57030
23,61,11141,19846
4,16,3493,6294
4,6,4365,8146
18,56,21487,39431
16,34,14843,27642
12,32,11374,21186
12,26,30805,58995
6,12,5980,11138
8,32,8367,15378
15,28,2252,3718
4,14,2854,5124
18,48,10092,18420
14,29,11733,21534
8,40,8424,15510
14,44,23984,45672
18,48,27526,50754
4,12,13202,25284
14,30,24517,47018
14,50,13639,25350
6,28,41106,80440
8,16,18387,35260
6,32,14943,28476
10,36,14516,27452
4,6,5483,10320
8,16,12610,23790
18,57,15949,29346
12,25,9423,17655
16,50,23747,45279
6,12,6183,11332
6,24,13504,25645
12,25,17455,33147
12,44,36655,70714
18,64,21139,39278
4,6,15890,30836
8,20,10183,18882
18,67,17304,31842
2,8,12519,24220
2,8,4774,9075
6,26,5189,9444
6,28,4373,7830
2,2,8625,16706
12,26,9553,17820
4,6,7040,13300
2,8,9792,18875
6,24,9813,18584
12,24,8340,15444
30,71,29815,55221
10,24,12350,21703
4,14,8631,16374
20,42,9271,16768
6,24,10914,20720
4,16,3961,7230
18,38,20517,38778
16,50,29139,55418
8,33,6932,12665
2,8,8140,15640
13,24,16907,32082
4,6,4895,9222
10,22,10805,20200
4,16,12946,24625
4,16,8471,15892
16,34,12557,23556
18,52,13783,25134
10,36,19103,36534
8,16,11621,22014
4,6,5206,9780
20,65,13261,24146
6,24,7555,14122
16,47,31616,60611
16,40,11074,20384
4,14,8355,15828
14,46,8024,14558
14,44,7152,12568
2,2,2430,4555
12,34,9585,17622
10,30,17214,32753
6,24,9122,17158
6,24,10498,19925
14,30,15532,29206
2,2,5126,9872
10,35,5352,9584
7,7,5999,11109
10,19,5967,10882
4,16,3821,6924
14,30,10822,20146
14,30,13346,24688
18,38,21405,40390
12,46,18364,34804
4,16,4022,7330
21,59,15440,28068
12,34,9984,18456
8,14,10720,20298
8,16,10793,20330
2,2,4424,8494
16,30,9253,17004
16,44,23546,44676
18,57,18298,34157
6,12,7141,13382
18,52,5069,8684
12,48,22665,42694
6,12,3134,5640
32,87,23356,43365
8,24,8362,15255
10,38,7955,14312
6,12,6235,11552
6,26,37448,73290
14,30,21843,41402
8,20,11859,22416
8,16,12549,23806
14,32,14962,28086
2,2,3893,7402
10,32,15078,28460
22,59,8279,14586
24,66,65626,127756
12,24,7169,13176
4,14,2819,5058
2,8,8412,16209
14,37,7378,13214
10,35,4704,8300
18,51,20930,39338
12,42,16128,30338
6,16,10049,18905
18,36,16945,31424
14,30,48644,94676
8,31,4103,7254
14,26,14137,25749
16,32,16966,31910
4,14,10195,19454
4,6,16399,31877
10,36,9240,17036
16,35,26041,49668
16,40,12794,23134
14,58,16012,29956
14,44,33686,64253
8,18,9770,18249
8,16,13749,26024
2,8,6526,12474
26,54,25620,47352
4,14,3080,5540
6,28,11108,21034
4,6,18329,35702
2,8,6188,11738
19,38,22073,41650
12,32,6944,12602
8,40,15048,28360
6,19,6365,11783
16,34,28880,55420
4,16,9201,17554
6,28,6109,11240
20,53,19529,36452
14,29,9482,17552
6,28,29039,56526
12,24,9986,18634
16,58,23226,43888
8,14,7659,14289
12,34,6011,10850
4,16,5827,10934
7,13,2872,5036
10,24,11496,21586
4,15,3395,6150
8,16,12238,23280
20,60,24322,45500
4,16,14336,27408
6,24,14101,26826
10,32,6554,11867
14,32,13294,24506
21,58,24983,47323
8,32,22988,44087
8,22,5717,10542
8,16,9828,18564
14,30,12330,22972
20,42,24170,46064
18,38,10366,18812
10,21,9619,17818
4,16,15207,29332
2,2,3950,7513
12,50,13963,25985
6,28,22065,42732
16,36,20167,38102
8,24,8546,15838
12,24,16592,31437
4,16,15048,29015
6,28,4508,8114
20,44,25688,48016
14,38,10667,19600
4,6,6063,11476
6,12,25996,50399
10,22,14073,26713
14,46,16998,32076
4,6,4585,8602
6,27,3777,6698
20,58,18483,34294
6,24,13308,25370
6,28,4707,8477
22,43,12317,22727
10,34,14273,26656
10,38,13959,26125
10,34,11536,21570
2,8,11727,22500
4,16,9041,17127
8,30,18940,36390
4,6,7915,15164
22,78,21505,39606
4,14,7129,13450
9,9,8424,15570
8,24,4339,7806
28,56,37102,68361
14,51,14469,26956
22,60,25093,47172
16,48,22319,42337
16,36,27764,53274
14,31,11873,22009
16,34,20019,37758
10,36,12442,23419
4,6,23344,45561
4,6,8368,15966
4,6,2023,3613
12,25,12747,23936
22,46,25732,48364
2,8,11302,21809
20,47,6890,12130
6,20,5808,10627
10,36,10028,18543
16,65,18075,33616
6,12,27261,53060
10,34,8996,16744
8,8,4648,8456
4,6,15416,29866
12,30,12248,22784
14,36,12298,22525
10,20,17805,34168
14,43,10577,19414
10,36,28766,55754
2,8,6325,12018
2,8,9950,19271
13,24,23261,44333
10,24,9692,17864
6,12,15591,29963
8,32,19826,37819
6,24,15557,29692
19,53,15241,27192
8,22,5963,10986
10,32,15991,30234
26,64,22043,40752
4,6,2396,4308
6,26,19832,38340
14,46,8377,15146
8,16,33478,65125
16,41,17346,31972
2,8,8471,16311
18,37,24644,46731
6,32,14743,28052
14,44,7979,14324
4,16,11473,22092
20,67,19673,36416
4,14,10169,19420
14,36,17310,31095
4,14,8216,15568
6,28,6119,11188
16,59,19620,36296
4,6,4777,8952
2,2,1729,3198
2,8,12401,24015
16,34,17908,33620
10,19,4155,7485
20,42,12669,23530
6,12,9570,18153
2,8,6695,12821
12,28,23858,45730
14,40,16235,30374
2,2,11177,21714
8,20,8018,14248
12,30,7456,13692
4,14,2378,4200
18,35,28446,53272
16,48,32513,62574
16,32,12758,23844
18,52,38865,75214
16,58,13661,25192
4,6,8024,15212
14,44,8586,15554
6,28,14325,27408
24,59,33138,59671
12,26,9916,18394
8,20,8888,16360
16,30,12863,23352
4,14,15918,30604
4,16,13201,25357
4,16,8769,16660
16,49,11345,20786
28,68,21538,39793
4,6,3962,7347
14,30,10760,19850
14,46,31523,60778
12,24,7996,14840
4,6,1445,2416
6,12,4857,8888
8,30,10529,19718
10,46,18298,34483
4,6,12758,24711
8,30,7588,13887
18,51,28927,54948
2,8,7113,13691
8,16,10359,19602
4,16,3743,6774
4,6,28928,56714
18,38,15405,28762
14,47,51938,100882
16,40,20357,37960
6,26,5154,9434
4,14,3131,5642
8,16,37467,73015
14,44,10381,19123
28,82,30130,55458
24,80,22035,40943
8,32,8051,14786
6,28,4506,8104
16,34,27964,53526
10,28,18056,33272
2,8,6225,11842
8,24,5626,10246
8,30,12686,24070
20,39,14288,26480
8,16,21543,41673
6,28,16801,32282
10,24,13972,25716
16,44,16041,30157
6,28,4670,8412
8,18,9146,17122
2,2,1169,2075
10,21,7050,12982
16,62,16755,31112
8,14,2643,4466
22,64,19981,37499
10,35,21109,40183
16,40,6808,12196
2,2,9312,18128
16,56,13100,24186
4,6,25599,49957
4,16,13807,26560
6,12,13482,25858
18,53,19374,36181
18,64,21102,39426
8,24,10715,19800
10,23,10895,20413
12,40,34835,67360
18,46,23051,43365
4,16,3762,6810
4,6,11603,22356
8,32,26455,50848
12,40,17505,33027
4,6,23869,46690
10,19,8392,15640
14,30,12319,22957
14,58,21549,40468
14,14,952,1470
18,51,15401,28651
6,24,11471,21748
18,65,24026,45254
4,16,10992,21116
4,16,10069,19297
4,6,16371,31818
4,14,8167,15470
4,6,10695,20634
14,38,9058,16572
6,34,9293,17364
14,44,6209,11080
2,8,9821,18984
14,43,18334,34824
10,19,7237,13320
16,50,12709,23300
16,47,15597,28524
12,24,9695,18170
24,66,21656,39119
24,64,17737,32428
6,12,11650,22116
2,2,622,1012
4,6,2500,4484
2,8,11057,21260
2,8,8556,16451
10,32,17202,32494
20,65,20553,38596
6,28,56557,111064
20,42,29100,53294
4,16,7880,14804
8,32,10814,20243
8,20,15521,29306
20,66,16638,30586
10,48,14678,27546
16,32,8155,14876
16,60,16604,30406
16,42,5613,9830
10,24,10203,18229
10,19,8127,15114
14,28,9526,17676
10,34,6862,12533
8,27,16498,31305
4,16,12237,23447
8,32,9604,17797
10,34,6355,11593
4,6,9693,18573
14,30,18621,35026
18,66,20995,39188
6,24,9383,17676
22,60,18382,33996
6,16,12322,23294
10,32,7692,14096
12,48,18664,35180
8,16,4270,7835
4,14,2932,5274
4,16,6424,12070
8,27,9425,17426
4,16,3568,6445
12,48,15240,28502
4,16,3901,7082
10,28,13338,24938
14,44,6879,12278
6,28,4045,7115
8,42,14850,27876
20,42,45825,88455
4,6,11497,22016
12,44,13963,26004
20,74,17266,31764
18,54,8676,15526
6,12,6545,12128
14,45,7680,13862
14,30,12784,23834
14,40,11286,20804
8,16,10161,18956
18,66,20914,38898
14,32,44763,86734
16,51,18796,35322
12,32,11129,20647
8,24,8953,16656
4,6,1634,2825
8,24,17629,33296
4,6,4527,8426
4,16,4173,7626
6,12,5734,10646
6,24,13289,25298
4,6,11000,21251
6,26,3292,5759
14,44,14743,27394
12,48,16578,31004
18,58,19781,36977
6,26,4308,7725
12,33,6788,12266
4,14,13893,26666
16,32,13866,26032
14,30,10615,19736
14,42,23642,44891
6,24,8282,15528
6,26,5272,9682
8,40,10854,20184
6,24,11700,22186
8,16,6998,12913
10,40,11494,21392
8,16,16493,31604
16,49,17018,31804
14,40,11188,20662
20,42,15632,29070
8,40,14388,27214
29,74,31497,59529
16,30,15522,28988
6,28,34253,66760
6,28,4728,8564
4,6,29845,58512
14,40,18748,35314
12,39,33758,65392
4,6,10527,20276
18,38,13731,25609
2,8,7014,13404
10,10,9550,17740
4,14,9331,17746
12,24,9839,18353
4,14,2675,4766
16,31,18455,34720
8,32,6839,12486
4,16,9586,18301
12,26,20993,40111
6,16,10720,19966
12,50,16797,31384
14,41,25560,48536
4,6,4007,7470
18,58,19658,36880
9,17,5131,9358
16,48,10611,19259
6,24,16752,32076
14,44,15539,29111
14,40,14195,26160
15,46,23150,43674
8,22,11006,20638
6,24,8487,15954
4,6,11518,22266
12,25,15952,30146
2,8,7253,13893
4,6,17751,34528
16,47,18542,34895
20,47,6221,11022
18,38,11624,21370
6,28,15091,28795
8,16,12502,23724
12,24,10136,18870
30,92,12881,22642
6,32,13120,24766
8,16,6479,11898
18,51,12240,21728
4,16,12842,24723
20,44,18548,34989
14,48,11279,20790
2,2,1703,3118
18,38,30441,58743
18,51,20441,38445
16,36,14216,26417
20,58,17102,31898
2,2,12386,24141
10,28,11929,21435
18,38,14310,26534
16,49,17909,33368
23,49,34491,65889
4,16,3737,6766
14,51,14769,27542
6,32,11142,21044
6,12,5965,11086
6,11,10151,19271
8,32,14678,27904
20,56,12398,22672
6,32,12393,23421
2,8,13767,26705
6,22,6370,11760
8,30,18432,35406
22,66,15548,28450
4,6,19240,37490
2,2,2336,4374
12,30,7456,13572
12,50,14616,27299
10,22,18011,34470
22,46,24764,46182
10,32,10045,18662
18,66,12185,21988
14,46,8192,14916
12,30,6230,11262
20,42,29973,56314
8,22,6903,12772
10,24,9973,18640
18,51,12398,22816
6,28,4000,7094
16,52,16006,29138
4,6,30993,60846
12,26,26181,49921
8,18,9921,18554
2,8,5717,10923
12,34,15876,29875
18,53,8896,16036
18,52,25663,48208
12,28,18967,35207
14,30,14075,26598
8,24,10240,19286
10,19,24922,48208
14,44,20072,38114
6,24,12906,24534
16,34,24064,45842
6,10,8425,15968
14,44,13838,25542
24,76,20484,37882
30,82,23779,43208
22,48,19062,35048
22,68,18403,33403
8,15,9572,17937
24,81,14088,25400
8,15,13694,25945
18,48,18853,35378
8,24,3885,6808
14,42,11413,21060
4,14,10219,19538
4,6,12941,25052
11,11,1683,2893
16,47,37884,72790
18,38,17494,32576
16,48,12875,23788
10,19,6184,11276
16,40,6319,11234
4,6,16176,31076
20,42,20666,38903
2,8,7896,15112
11,21,33600,65132
16,44,22651,42836
16,32,9805,18128
12,24,8923,16637
2,8,6915,13184
8,16,11841,22418
10,22,16437,31415
2,8,9815,18872
8,18,24110,46372
6,24,13502,25647
8,24,4636,8374
10,46,18310,34704
10,19,9568,17858
4,6,6332,12042
22,70,23451,43742
14,14,2212,3752
5,5,3550,6640
6,26,3763,6734
12,26,12227,22921
2,8,4582,8699
4,16,14002,27033
22,62,14294,26210
8,13,9320,17698
14,44,8364,15143
14,36,15366,27941
18,64,21170,39428
6,24,9314,17554
12,41,7862,14298
16,48,25288,47886
10,42,16557,31207
14,50,18275,34408
10,19,10756,19804
17,32,2484,4196
20,64,20538,37804
8,16,14356,27394
2,8,4579,8675
10,48,15327,28812
4,14,12236,23472
14,44,18934,35878
10,32,21529,41088
17,32,3527,6116
14,30,14258,26706
12,24,7819,14426
4,14,12725,24364
10,34,10534,19654
6,28,11301,21418
16,46,18378,34624
28,76,17452,31396
16,48,13531,24919
8,24,12717,23854
14,30,15697,29504
4,14,2607,4650
2,8,7924,15243
6,28,5277,9627
14,44,51147,94760
13,24,7840,14138
10,28,13418,25310
2,8,9956,19184
12,32,13399,25053
4,16,6616,12459
10,42,15910,29933
6,22,6347,11678
10,34,14832,27874
8,24,10874,20458
16,47,16510,30508
8,20,7126,13033
10,20,28446,55197
4,16,11432,21788
10,32,17297,32982
6,24,14610,27878
14,26,17106,31466
16,33,17496,32318
10,24,10806,19120
6,12,8604,16177
4,6,11156,21545
22,62,24664,46765
18,58,21646,39902
4,16,6305,11859
14,54,23206,43202
16,50,13476,24690
30,79,20796,38398
6,10,8160,15234
7,13,38244,74628
18,68,12871,23500
20,58,23843,44908
12,40,5957,10638
4,6,9782,18682
12,24,13619,25392
4,16,13376,25764
12,34,9219,16976
2,8,6665,12705
4,16,7934,15014
18,60,18077,33453
4,14,7265,13734
6,12,9896,18671
17,34,18851,35608
8,14,16274,30940
17,32,22931,43126
9,17,14326,27348
18,52,20684,38291
6,28,6373,11766
2,8,6468,12410
7,13,2655,4647
2,2,1166,2080
21,59,49219,94882
20,56,21994,41571
10,22,8969,16601
16,45,17156,32170
10,38,15464,29071
2,8,8998,17292
10,35,5102,9072
2,8,7958,15295
8,34,7123,13000
22,45,13932,25730
14,32,23974,45691
20,42,15490,28463
8,17,7317,13591
12,25,24935,47850
14,43,7590,13770
6,27,16620,31968
8,16,24781,48006
12,33,14354,27043
4,6,27639,54131
6,26,2970,5190
16,40,16775,30770
2,8,10077,19462
4,6,2482,4479
12,40,16666,30415
8,16,24407,47012
10,36,7207,13040
14,32,12443,23223
6,12,2566,4519
8,32,8765,16282
10,36,6084,11007
10,24,14374,26566
10,22,10168,18904
22,44,12767,23240
2,2,3683,6985
12,22,9285,17172
10,22,23694,45335
16,33,20119,36328
2,8,9275,17837
6,12,16116,31005
6,16,9467,17700
12,25,12480,23317
18,37,11202,20582
18,52,9959,18124
12,24,9021,16626
14,36,13056,23877
10,22,25472,48889
12,32,7530,13670
14,38,13600,25268
4,16,14176,27244
16,42,8546,15506
8,32,12635,23858
18,38,13887,25740
18,37,20785,37462
4,14,3301,5978
6,26,5991,11018
12,32,13479,25330
8,24,13334,24906
4,6,5412,10238
27,55,35928,67694
4,16,12142,23158
4,14,7986,15126
4,16,11581,22198
8,8,5264,9776
4,16,3368,6038
20,43,54557,105248
14,46,11676,21607
18,40,13389,24709
10,19,4516,8154
6,24,13603,25898
18,58,27430,50452
22,66,21658,40060
16,40,7783,14108
8,40,12740,23932
8,30,5989,10848
20,56,49066,95250
4,14,11648,22300
10,19,22502,43393
4,14,10200,19436
4,6,23856,46612
10,32,11644,21793
22,59,17305,32305
8,32,10280,19240
10,19,7796,14439
8,24,12421,22937
18,38,10986,20340
22,46,25227,47840
12,22,19367,36325
18,50,21876,40364
10,19,4807,8664
18,58,13099,24082
18,55,12576,22994
6,22,15996,30453
4,16,14429,27779
4,6,12408,23938
10,36,11298,20866
20,58,9907,17874
12,24,11288,21074
25,51,26170,48948
6,16,12941,24718
12,40,7330,13230
8,36,8936,16441
21,44,13995,26052
4,16,12121,23334
12,22,11670,21740
4,14,13469,25842
6,24,8195,15329
16,40,19385,35182
18,37,16719,31192
28,76,31354,58489
18,38,9573,17572
14,44,7381,13278
18,52,7373,13018
6,12,7025,13269
14,54,17058,32014
24,49,22777,41506
8,14,9525,18054
10,22,27877,53638
14,30,9498,17596
6,12,7970,14938
20,42,23938,44941
14,46,32870,63629
8,20,4938,8946
12,49,14879,27935
12,42,20352,38681
2,8,8070,15464
18,38,11453,21144
28,58,57648,107096
8,24,13201,24698
13,24,1453,2329
12,23,3600,6409
10,40,16335,30707
4,6,1709,2825
4,14,13117,25204
20,57,7455,13366
14,44,10772,19800
4,14,6636,12504
8,16,7110,13049
14,30,17330,32631
10,41,14671,27716
6,28,4391,7882
6,16,10832,20315
16,34,6356,11482
18,62,23974,45046
8,22,8201,15238
22,60,33876,62032
10,22,23275,44673
6,24,6654,12380
20,52,19878,37038
4,16,3796,6882
4,6,2048,3588
4,16,6053,11376
14,14,2394,4074
16,29,14610,27128
18,38,18916,35583
20,51,19409,36348
6,12,26028,50636
12,23,14528,27466
12,48,11203,20671
4,6,10402,20053
14,36,14403,27082
4,14,10022,19122
4,6,4572,8536
18,52,9413,16963
10,22,21361,40916
2,8,9812,18868
2,2,6412,12364
2,2,5843,11227
10,19,7650,14238
22,48,18075,33596
4,6,11095,21429
10,21,22685,43549
12,23,7832,14520
6,32,16730,32070
6,12,5160,9540
8,24,12493,23682
10,32,7817,14298
18,37,34596,66788
8,24,10575,19818
14,44,8281,15008
4,6,2419,4207
12,38,20219,38328
10,34,7810,14259
8,14,14170,26987
4,16,3956,7216
32,83,17069,31358
14,44,23576,45149
12,42,41292,80180
4,6,5350,10066
6,16,9472,17755
10,21,9644,18111
8,25,6488,11767
4,6,13337,25845
8,24,10986,20676
4,16,11781,22652
8,22,4953,9034
27,71,9566,17005
4,6,3195,5863
2,8,7241,13892
8,34,8174,15079
10,32,6111,11098
16,50,9646,17496
2,2,10710,20836
16,40,8956,16354
12,26,32196,61950
6,19,7005,12999
12,36,16824,31736
16,54,15780,29330
4,16,5599,10516
12,26,29679,57072
14,42,8107,14672
8,26,14313,26956
16,56,14204,25992
19,38,24559,46284
14,50,18713,35358
6,26,5001,9086
6,28,5871,10708
14,36,13885,24549
6,12,5117,9414
4,16,13045,25168
14,29,17431,32876
6,27,12138,23070
12,26,10011,18702
8,24,10125,19012
2,2,7008,13536
12,22,9187,16814
2,8,9089,17450
2,8,9906,19154
14,44,7052,12628
14,42,18002,34015
10,41,13264,24815
6,26,6752,12455
6,26,19533,37782
6,10,16409,31626
4,6,8718,16715
16,33,10815,19882
14,28,40884,79582
6,28,11555,21951
4,6,11452,22125
4,16,3768,6834
10,43,17301,32669
30,96,20539,37650
8,22,10072,18816
10,28,11416,21352
14,30,12394,23192
4,6,7693,14630
32,66,59557,108316
24,60,19657,36048
24,66,20803,38704
4,6,4547,8464
18,52,43377,83714
18,64,14182,26052
16,31,9197,16858
18,51,12753,23349
12,26,12436,23204
6,12,6194,11534
10,28,13551,25359
10,38,6813,12321
20,51,19484,36353
12,48,11104,20474
2,8,8374,16143
16,40,10349,19088
8,34,6664,11985
6,28,3897,6904
12,24,9002,16558
26,74,20662,37831
14,49,23552,44706
12,24,11940,22383
10,35,28843,55835
4,6,6493,12328
